지역,업종,최종세액,순위
강원,음식업,87020.0,1
강원,건설업,66777.0,2
강원,기타서비스업,41024.0,3
경기,제조업,892716.0,1
경기,음식업,572743.0,2
경기,부동산임대업 외,571414.0,3
경남,제조업,323848.0,1
경남,음식업,121306.0,2
경남,건설업,94354.0,3
경북,제조업,190770.0,1
경북,건설업,97117.0,2
경북,음식업,93477.0,3
광주,음식업,57917.0,1
광주,건설업,53134.0,2
광주,제조업,36138.0,3
대구,전기·가스·수도업,97533.0,1
대구,대리중개도급 등,84930.0,2
대구,건설업,83344.0,3
대전,음식업,60915.0,1
대전,기타서비스업,50311.0,2
대전,건설업,46557.0,3
부산,제조업,205588.0,1
부산,음식업,134441.0,2
부산,기타서비스업,112086.0,3
서울,기타서비스업,675597.0,1
서울,부동산임대업 외,670088.0,2
서울,음식업,501256.0,3
세종,건설업,13698.0,1
세종,대리중개도급 등,10558.0,2
세종,운수창고통신업 등,9554.0,3
울산,제조업,92066.0,1
울산,음식업,47431.0,2
울산,건설업,44488.0,3
인천,제조업,163101.0,1
인천,음식업,120134.0,2
인천,기타서비스업,111349.0,3
전남,음식업,67411.0,1
전남,건설업,63475.0,2
전남,운수창고통신업 등,43250.0,3
전북,음식업,64788.0,1
전북,건설업,61413.0,2
전북,기타서비스업,44205.0,3
제주,건설업,49339.0,1
제주,대리중개도급 등,21460.0,2
제주,부동산임대업,18923.0,3
충남,제조업,101192.0,1
충남,음식업,94228.0,2
충남,건설업,87645.0,3
충북,제조업,76864.0,1
충북,음식업,71351.0,2
충북,건설업,68982.0,3
