지역,과세표준_합계,영세율과세표준_합계,총_매출_과세표준,영세율_비중_PCT,순위
인천,23896768.0,1486949.0,25383717.0,5.86,2
서울,79161250.0,2544182.0,81705432.0,3.11,3
경기,123203404.0,3590671.0,126794075.0,2.83,3
충북,12682761.0,325366.0,13008127.0,2.5,4
경북,21491380.0,447572.0,21938952.0,2.04,6
전남,10923434.0,226923.0,11150357.0,2.04,7
충남,16594297.0,247490.0,16841787.0,1.47,8
세종,1550310.0,19054.0,1569364.0,1.21,8
강원,10563335.0,121139.0,10684474.0,1.13,10
대전,10288820.0,105378.0,10394198.0,1.01,11
제주,4695385.0,36954.0,4732339.0,0.78,11
전북,11872723.0,86772.0,11959495.0,0.73,13
광주,9353090.0,44103.0,9397193.0,0.47,13
울산,8635815.0,-14215.0,8621600.0,-0.16,14
경남,27699339.0,-61251.0,27638088.0,-0.22,15
대구,11736630.0,-100439.0,11636191.0,-0.86,17
부산,28009524.0,-749872.0,27259652.0,-2.75,17
