region,industry,tax_people_count,tax_base,zero_tax_base,pay_tax,refund_tax,final_tax
서울,농업·임업·어업,111.0,8114.0,23.0,322.0,32.0,290.0
서울,광업,37.0,3105.0,0.0,279.0,164.0,115.0
서울,제조업,53148.0,5522811.0,218030.0,259830.0,22781.0,237049.0
서울,전기·가스·수도업,569.0,14406.0,0.0,1218.0,542.0,676.0
서울,도매업,91020.0,13188084.0,1252804.0,294382.0,79264.0,215118.0
서울,소매업,110126.0,10710834.0,354370.0,168900.0,50129.0,118771.0
서울,부동산임대업,3871.0,565792.0,44.0,44541.0,51138.0,-6597.0
서울,건설업,55222.0,4608276.0,14567.0,256927.0,32117.0,224810.0
서울,음식업,96467.0,16273511.0,1208.0,526198.0,24942.0,501256.0
서울,숙박업,5691.0,557124.0,558.0,30951.0,7214.0,23737.0
서울,운수창고통신업 등,38353.0,1533458.0,3221.0,76804.0,11352.0,65452.0
서울,부동산임대업 외,277018.0,8444721.0,7394.0,770494.0,100406.0,670088.0
서울,대리중개도급 등,45020.0,2631990.0,103703.0,156509.0,10305.0,146204.0
서울,기타서비스업,174769.0,15099024.0,588260.0,801826.0,126229.0,675597.0
인천,농업·임업·어업,83.0,8016.0,211.0,420.0,9.0,411.0
인천,광업,11.0,544.0,0.0,16.0,8.0,8.0
인천,제조업,21160.0,4164678.0,164106.0,181156.0,18055.0,163101.0
인천,전기·가스·수도업,743.0,12584.0,0.0,1114.0,1011.0,103.0
인천,도매업,23270.0,3564035.0,1102382.0,86567.0,99945.0,-13378.0
인천,소매업,34708.0,4084254.0,100907.0,57091.0,20257.0,36834.0
인천,부동산임대업,1445.0,61026.0,0.0,5179.0,2336.0,2843.0
인천,건설업,24632.0,1942490.0,6587.0,112971.0,14191.0,98780.0
인천,음식업,28785.0,4229554.0,830.0,127099.0,6965.0,120134.0
인천,숙박업,2220.0,127908.0,0.0,6020.0,1948.0,4072.0
인천,운수창고통신업 등,21645.0,1135655.0,6296.0,57697.0,8456.0,49241.0
인천,부동산임대업 외,95296.0,1480412.0,139.0,137019.0,48216.0,88803.0
인천,대리중개도급 등,13745.0,814297.0,53864.0,41824.0,7050.0,34774.0
인천,기타서비스업,38553.0,2271315.0,51627.0,124800.0,13451.0,111349.0
경기,농업·임업·어업,770.0,21649.0,375.0,1250.0,403.0,847.0
경기,광업,64.0,3395.0,35.0,205.0,6.0,199.0
경기,제조업,118768.0,24107683.0,1211424.0,1016659.0,123943.0,892716.0
경기,전기·가스·수도업,12934.0,158116.0,2.0,13412.0,20598.0,-7186.0
경기,도매업,114124.0,20999983.0,1620747.0,514436.0,154564.0,359872.0
경기,소매업,170947.0,20551594.0,353456.0,278254.0,85314.0,192940.0
